Emittententicker,Name,ISIN
SAP,SAP,DE0007164600
SIE,SIEMENS N AG,DE0007236101
ALV,ALLIANZ,DE0008404005
AIR,AIRBUS,NL0000235190
DTE,DEUTSCHE TELEKOM N AG,DE0005557508
ENR,SIEMENS ENERGY N AG,DE000ENER6Y0
RHM,RHEINMETALL AG,DE0007030009
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,DE0008430026
DBK,DEUTSCHE BANK AG,DE0005140008
IFX,INFINEON TECHNOLOGIES AG,DE0006231004
MBG,MERCEDES-BENZ GROUP N AG,DE0007100000
DHL,DEUTSCHE POST AG,DE0005552004
DB1,DEUTSCHE BOERSE AG,DE0005810055
BAS,BASF N,DE000BASF111
BAYN,BAYER AG,DE000BAY0017
EOAN,E.ON N,DE000ENAG999
RWE,RWE AG,DE0007037129
HEI,HEIDELBERG MATERIALS AG,DE0006047004
ADS,ADIDAS N AG,DE000A1EWWW0
BMW,BMW AG,DE0005190003
CBK,COMMERZBANK AG,DE000CBK1001
VOW3,VOLKSWAGEN NON-VOTING PREF AG,DE0007664039
DTG,DAIMLER TRUCK HOLDING E AG,DE000DTR0CK8
FRE,FRESENIUS SE AND CO KGAA,DE0005785604
MTX,MTU AERO ENGINES HOLDING AG,DE000A0D9PT0
VNA,VONOVIA SE,DE000A1ML7J1
HNR1,HANNOVER RUECK,DE0008402215
MRK,MERCK,DE0006599905
SHL,SIEMENS HEALTHINEERS AG,DE000SHL1006
HEN3,HENKEL & KGAA PREF AG,DE0006048432
SY1,SYMRISE AG,DE000SYM9999
QIA,QIAGEN NV,NL0015002CX3
FME,FRESENIUS MEDICAL CARE AG,DE0005785802
BEI,BEIERSDORF AG,DE0005200000
G1A,GEA GROUP AG,DE0006602006
CON,CONTINENTAL AG,DE0005439004
G24,SCOUT24 N,DE000A12DM80
PAH3,PORSCHE AUTOMOBIL HOLDING PREF,DE000PAH0038
BNR,BRENNTAG,DE000A1DAHH0
ZAL,ZALANDO,DE000ZAL1111
