Emittententicker,Name,ISIN
AZN,ASTRAZENECA PLC,GB0009895292
HSBA,HSBC HOLDINGS PLC,GB0005405286
SHEL,SHELL PLC,GB00BP6MXD84
ULVR,UNILEVER PLC,GB00BVZK7T90
RR.,ROLLS-ROYCE HOLDINGS PLC,GB00B63H8491
BATS,BRITISH AMERICAN TOBACCO,GB0002875804
GSK,GLAXOSMITHKLINE,GB00BN7SWP63
BP.,BP PLC,GB0007980591
BARC,BARCLAYS PLC,GB0031348658
RIO,RIO TINTO PLC,GB0007188757
LLOY,LLOYDS BANKING GROUP PLC,GB0008706128
NG.,NATIONAL GRID PLC,GB00BDR05C01
REL,RELX PLC,GB00B2B0DG97
BA.,BAE SYSTEMS PLC,GB0002634946
NWG,NATWEST GROUP PLC,GB00BM8PJY71
LSEG,LONDON STOCK EXCHANGE GROUP PLC,GB00B0SWJX34
GLEN,GLENCORE PLC,JE00B4T3BW64
RKT,RECKITT BENCKISER GROUP PLC,GB00B24CGK77
CPG,COMPASS GROUP PLC,GB00BD6K4575
DGE,DIAGEO PLC,GB0002374006
HLN,HALEON PLC,GB00BMX86B70
STAN,STANDARD CHARTERED PLC,GB0004082847
AAL,ANGLO AMERICAN PLC,GB00BTK05J60
EXPN,EXPERIAN PLC,GB00B19NLV48
III,3I GROUP PLC,GB00B1YW4409
TSCO,TESCO PLC,GB00BLGZ9862
PRU,PRUDENTIAL PLC,GB0007099541
SSE,SSE PLC,GB0007908733
IMB,IMPERIAL BRANDS PLC,GB0004544929
AHT,ASHTEAD GROUP PLC,GB0000536739
AV.,AVIVA PLC,GB00BPQY8M80
VOD,VODAFONE GROUP PLC,GB00BH4HKS39
NXT,NEXT PLC,GB0032089863
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,GB00BDCPN049
IHG,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057
LGEN,LEGAL AND GENERAL GROUP PLC,GB0005603997
HLMA,HALMA PLC,GB0004052071
IAG,INTERNATIONAL AIRLINES GROUP SA,ES0177542018
SMT,SCOTTISH MORTGAGE INVESTMENT TRUST,GB00BLDYK618
INF,INFORMA PLC,GB00BMJ6DW54
SN.,SMITH AND NEPHEW PLC,GB0009223206
RTO,RENTOKIL INITIAL PLC,GB00B082RF11
SGE,THE SAGE GROUP PLC,GB00B8C3BL03
ANTO,ANTOFAGASTA PLC,GB0000456144
BT.A,BT GROUP PLC,GB0030913577
SGRO,SEGRO REIT PLC,GB00B5ZN1N88
CNA,CENTRICA PLC,GB00B033F229
UU.,UNITED UTILITIES GROUP PLC,GB00B39J2M42
SMIN,SMITHS GROUP PLC,GB00B1WY2338
ADM,ADMIRAL GROUP PLC,GB00B02J6398
WEIR,WEIR GROUP PLC,GB0009465807
CCH,COCA COLA HBC AG,CH0198251305
DPLM,DIPLOMA PLC,GB0001826634
MRO,MELROSE INDUSTRIES PLC,GB00BNGDN821
SVT,SEVERN TRENT PLC,GB00B1FH8J72
STJ,ST JAMESS PLACE PLC,GB0007669376
ITRK,INTERTEK GROUP PLC,GB0031638363
BNZL,BUNZL,GB00B0744B38
PSON,PEARSON PLC,GB0006776081
MKS,MARKS AND SPENCER GROUP PLC,GB0031274896
EDV,ENDEAVOUR MINING,GB00BL6K5J42
GAW,GAMES WORKSHOP GROUP PLC,GB0003718474
MNG,M&G PLC,GB00BKFB1C65
ABF,ASSOCIATED BRITISH FOODS PLC,GB0006731235
BAB,BABCOCK INTERNATIONAL GROUP PLC,GB0009697037
FCIT,F&C INVESTMENT TRUST PLC,GB0003466074
IMI,IMI PLC,GB00BGLP8L22
ICG,ICG PLC,GB00BYT1DJ19
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC,GB00BR3YV268
SBRY,SAINSBURY(J) PLC,GB00B019KW72
KGF,KINGFISHER PLC,GB0033195214
AUTO,AUTO TRADER GROUP PLC,GB00BVYVFW23
FRES,FRESNILLO PLC,GB00B2QPKJ12
PHNX,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29
ALW,ALLIANCE WITAN PLC,GB00B11V7W98
SPX,SPIRAX GROUP PLC,GB00BWFGQN14
DCC,DCC PLC,IE0002424939
BTRW,BARRATT REDROW PLC,GB0000811801
BEZ,BEAZLEY PLC,GB00BYQ0JC66
ENT,ENTAIN PLC,IM00B5VQMV65
HSX,HISCOX LTD,BMG4593F1389
LAND,LAND SECURITIES GROUP REIT PLC,GB00BYW0PQ60
HWDN,HOWDEN JOINERY GROUP PLC,GB0005576813
BRBY,BURBERRY GROUP PLC,GB0031743007
PSN,PERSIMMON PLC,GB0006825383
RMV,RIGHTMOVE PLC,GB00BGDT3G23
CTEC,CONVATEC GROUP PLC,GB00BD3VFW73
WTB,WHITBREAD PLC,GB00B1KJJ408
LMP,LONDONMETRIC PROPERTY REIT PLC,GB00B4WFW713
MTLN,METLEN ENERGY & METALS PLC,GB00BTQGS779
MNDI,MONDI PLC,GB00BMWC6P49
CRDA,CRODA INTERNATIONAL PLC,GB00BJFFLV09
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,GB00BP0RGD03
WPP,WPP PLC,JE00B8KF9B49
EZJ,EASYJET PLC,GB00B7KR2P84
SDR,SCHRODERS PLC,GB00BP9LHF23
HIK,HIKMA PHARMACEUTICALS PLC,GB00B0LCW083
AAF,AIRTEL AFRICA PLC,GB00BKDRYJ47
JD.,JD SPORTS FASHION PLC,GB00BM8Q5M07
EVR,EVRAZ,GB00B71N6K86
