Emittententicker,Name,ISIN
LHA,DEUTSCHE LUFTHANSA AG,DE0008232125
TLX,TALANX AG,DE000TLX1005
SRT3,SARTORIUS PREF AG,DE0007165631
HOT,HOCHTIEF AG,DE0006070006
KBX,KNORR BREMSE AG,DE000KBX1006
NEM,NEMETSCHEK,DE0006452907
P911,DR ING HC F PORSCHE PRF AG,DE000PAG9113
DHER,DELIVERY HERO,DE000A2E4K43
R3NK,RENK GROUP AG,DE000RENK730
EVD,CTS EVENTIM AG,DE0005470306
LEG,LEG IMMOBILIEN N,DE000LEG1110
KGX,KION GROUP AG,DE000KGX8881
TKA,THYSSENKRUPP AG,DE0007500001
HAG,HENSOLDT AG,DE000HAG0005
TUI1,TUI N AG,DE000TUAG505
NDX1,NORDEX,DE000A0D6554
BC8,BECHTLE AG,DE0005158703
GBF,BILFINGER,DE0005909006
AG1,AUTO1 GROUP,DE000A2LQ884
FNTN,FREENET AG,DE000A0Z2ZZ5
EVK,EVONIK INDUSTRIES AG,DE000EVNK013
RAA,RATIONAL AG,DE0007010803
NDA,AURUBIS AG,DE0006766504
FTK,FLATEXDEGIRO N AG,DE000FTG1111
FRA,FRAPORT FRANKFURT AIRPORT SERVICES,DE0005773303
TEG,TAG IMMOBILIEN AG,DE0008303504
FPE3,FUCHS PREF,DE000A3E5D64
PUM,PUMA,DE0006969603
SDF,K+S AG,DE000KSAG888
AIXA,AIXTRON,DE000A0WMPJ6
UTDI,UNITED INTERNET AG,DE0005089031
AT1,AROUNDTOWN SA,LU1673108939
8TRA,TRATON,DE000TRAT0N7
KRN,KRONES AG,DE0006335003
DWS,DWS GROUP & GMBH CO KGAA,DE000DWS1007
JUN3,JUNGHEINRICH PREF AG,DE0006219934
HLE,HELLA GMBH & CO KGAA,DE000A13SX22
AFX,CARL ZEISS MEDITEC AG,DE0005313704
BOSS,HUGO BOSS N AG,DE000A1PHFF7
LXS,LANXESS AG,DE0005470405
IOS,IONOS GROUP N,DE000A3E00M1
WCH,WACKER CHEMIE AG,DE000WCH8881
RRTL,RTL GROUP SA,LU0061462528
SAX,STROEER SE,DE0007493991
RDC,REDCARE PHARMACY NV,NL0012044747
DWNI,DEUTSCHE WOHNEN,DE000A0HN5C6
FIE,FIELMANN GROUP AG,DE0005772206
TMV,TEAMVIEWER,DE000A2YN900
GXI,GERRESHEIMER AG,DE000A0LD6E6
HFG,HELLOFRESH,DE000A161408
