Emittententicker,Name,ISIN
6857,ADVANTEST CORP,JP3122400009
9983,FAST RETAILING LTD,JP3802300008
9984,SOFTBANK GROUP CORP,JP3436100006
8035,TOKYO ELECTRON LTD,JP3571400005
6762,TDK CORP,JP3538800008
9433,KDDI CORP,JP3496400007
6954,FANUC CORP,JP3802400006
4519,CHUGAI PHARMACEUTICAL LTD,JP3519400000
6098,RECRUIT HOLDINGS LTD,JP3970300004
4063,SHIN ETSU CHEMICAL LTD,JP3371200001
9766,KONAMI GROUP CORP,JP3300200007
6758,SONY GROUP CORP,JP3435000009
6367,DAIKIN INDUSTRIES LTD,JP3481800005
6988,NITTO DENKO CORP,JP3684000007
4543,TERUMO CORP,JP3546800008
5803,FUJIKURA LTD,JP3811000003
6971,KYOCERA CORP,JP3249600002
7203,TOYOTA MOTOR CORP,JP3633400001
8015,TOYOTA TSUSHO CORP,JP3635000007
7832,BANDAI NAMCO HOLDINGS INC,JP3778630008
6920,LASERTEC CORP,JP3979200007
4062,IBIDEN LTD,JP3148800000
7741,HOYA CORP,JP3837800006
7974,NINTENDO LTD,JP3756600007
8058,MITSUBISHI CORP,JP3898400001
9735,SECOM LTD,JP3421800008
4503,ASTELLAS PHARMA INC,JP3942400007
4568,DAIICHI SANKYO LTD,JP3475350009
4901,FUJIFILM HOLDINGS CORP,JP3814000000
6146,DISCO CORP,JP3548600000
8001,ITOCHU CORP,JP3143600009
7267,HONDA MOTOR LTD,JP3854600008
4578,OTSUKA HOLDINGS LTD,JP3188220002
7269,SUZUKI MOTOR CORP,JP3397200001
8031,MITSUI LTD,JP3893600001
8766,TOKIO MARINE HOLDINGS INC,JP3910660004
6902,DENSO CORP,JP3551500006
6981,MURATA MANUFACTURING LTD,JP3914400001
7733,OLYMPUS CORP,JP3201200007
4507,SHIONOGI LTD,JP3347200002
3659,NEXON LTD,JP3758190007
8830,SUMITOMO REALTY & DEVELOPMENT LTD,JP3409000001
5108,BRIDGESTONE CORP,JP3830800003
2801,KIKKOMAN CORP,JP3240400006
8267,AEON LTD,JP3388200002
7751,CANON INC,JP3242800005
9843,NITORI HOLDINGS LTD,JP3756100008
5802,SUMITOMO ELECTRIC INDUSTRIES LTD,JP3407400005
2802,AJINOMOTO INC,JP3119600009
4704,TREND MICRO INC,JP3637300009
6532,BAYCURRENT INC,JP3835250006
4452,KAO CORP,JP3205800000
3382,SEVEN & I HOLDINGS LTD,JP3422950000
