Emittententicker,Name,Börse,ISIN
ASML,ASML HOLDING NV,Euronext Amsterdam,NL0010273215
ROG,ROCHE HOLDING PAR AG,SIX Swiss Exchange,CH0012032048
AZN,ASTRAZENECA PLC,London Stock Exchange,GB0009895292
HSBA,HSBC HOLDINGS PLC,London Stock Exchange,GB0005405286
NOVN,NOVARTIS AG,SIX Swiss Exchange,CH0012005267
SAP,SAP,Xetra,DE0007164600
NESN,NESTLE SA,SIX Swiss Exchange,CH0038863350
SHELL,SHELL PLC,Euronext Amsterdam,GB00BP6MXD84
SIE,SIEMENS N AG,Xetra,DE0007236101
MC,LVMH,Nyse Euronext - Euronext Paris,FR0000121014
ALV,ALLIANZ,Xetra,DE0008404005
SAN,BANCO SANTANDER SA,Bolsa De Madrid,ES0113900J37
SU,SCHNEIDER ELECTRIC,Nyse Euronext - Euronext Paris,FR0000121972
NOVO B,NOVO NORDISK CLASS B,Omx Nordic Exchange Copenhagen A/S,DK0062498333
TTE,TOTALENERGIES,Nyse Euronext - Euronext Paris,FR0000120271
ULVR,UNILEVER PLC,London Stock Exchange,GB00BVZK7T90
AIR,AIRBUS GROUP,Nyse Euronext - Euronext Paris,NL0000235190
UBSG,UBS GROUP AG,SIX Swiss Exchange,CH0244767585
BATS,BRITISH AMERICAN TOBACCO,London Stock Exchange,GB0002875804
SAF,SAFRAN SA,Nyse Euronext - Euronext Paris,FR0000073272
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Bolsa De Madrid,ES0113211835
IBE,IBERDROLA SA,Bolsa De Madrid,ES0144580Y14
RR.,ROLLS-ROYCE HOLDINGS PLC,London Stock Exchange,GB00B63H8491
UCG,UNICREDIT,Borsa Italiana,IT0005239360
ABBN,ABB LTD,SIX Swiss Exchange,CH0012221716
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,SIX Swiss Exchange,CH0210483332
DTE,DEUTSCHE TELEKOM N AG,Xetra,DE0005557508
SAN,SANOFI SA,Nyse Euronext - Euronext Paris,FR0000120578
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Nyse Euronext - Euronext Paris,FR0000120073
ZURN,ZURICH INSURANCE GROUP AG,SIX Swiss Exchange,CH0011075394
EL,ESSILORLUXOTTICA SA,Nyse Euronext - Euronext Paris,FR0000121667
OR,LOREAL SA,Nyse Euronext - Euronext Paris,FR0000120321
ENR,SIEMENS ENERGY N AG,Xetra,DE000ENER6Y0
GSK,GLAXOSMITHKLINE,London Stock Exchange,GB00BN7SWP63
BP.,BP PLC,London Stock Exchange,GB0007980591
BNP,BNP PARIBAS SA,Nyse Euronext - Euronext Paris,FR0000131104
ISP,INTESA SANPAOLO,Borsa Italiana,IT0000072618
RMS,HERMES INTERNATIONAL,Nyse Euronext - Euronext Paris,FR0000052292
