Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung,ISIN
ASML,ASML HOLDING NV,IT,Aktien,"286.448.800,00","3,08","286.448.800,00","302.800,00","946,00",Niederlande,Euronext Amsterdam,EUR,NL0010273215
ROG,ROCHE HOLDING PAR AG,Gesundheitsversorgung,Aktien,"185.941.539,45","2,00","185.941.539,45","539.603,00","344,59",Schweiz,SIX Swiss Exchange,CHF,CH0012032048
AZN,ASTRAZENECA PLC,Gesundheitsversorgung,Aktien,"184.137.831,65","1,98","184.137.831,65","1.190.875,00","154,62",Vereinigtes Königreich,London Stock Exchange,GBP,GB0009895292
HSBA,HSBC HOLDINGS PLC,Financials,Aktien,"168.130.924,56","1,81","168.130.924,56","13.331.968,00","12,61",Vereinigtes Königreich,London Stock Exchange,GBP,GB0005405286
NOVN,NOVARTIS AG,Gesundheitsversorgung,Aktien,"166.504.562,98","1,79","166.504.562,98","1.475.900,00","112,82",Schweiz,SIX Swiss Exchange,CHF,CH0012005267
SAP,SAP,IT,Aktien,"165.212.242,90","1,78","165.212.242,90","783.182,00","210,95",Deutschland,Xetra,EUR,DE0007164600
NESN,NESTLE SA,Nichtzyklische Konsumgüter,Aktien,"164.648.883,14","1,77","164.648.883,14","1.977.321,00","83,27",Schweiz,SIX Swiss Exchange,CHF,CH0038863350
SHELL,SHELL PLC,Energie,Aktien,"139.835.038,50","1,50","139.835.038,50","4.492.692,00","31,13",Vereinigtes Königreich,Euronext Amsterdam,EUR,GB00BP6MXD84
SIE,SIEMENS N AG,Industrie,Aktien,"133.546.581,60","1,44","133.546.581,60","576.626,00","231,60",Deutschland,Xetra,EUR,DE0007236101
MC,LVMH,Zyklische Konsumgüter ,Aktien,"120.377.639,20","1,30","120.377.639,20","194.534,00","618,80",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121014
ALV,ALLIANZ,Financials,Aktien,"112.678.376,60","1,21","112.678.376,60","297.226,00","379,10",Deutschland,Xetra,EUR,DE0008404005
