Emittententicker,Name,ISIN
ASML,ASML HOLDING NV,NL0010273215
ROG,ROCHE HOLDING PAR AG,CH0012032048
AZN,ASTRAZENECA PLC,GB0009895292
HSBA,HSBC HOLDINGS PLC,GB0005405286
NOVN,NOVARTIS AG,CH0012005267
SAP,SAP,DE0007164600
NESN,NESTLE SA,CH0038863350
SHELL,SHELL PLC,GB00BP6MXD84
SIE,SIEMENS N AG,DE0007236101
MC,LVMH,FR0000121014
ALV,ALLIANZ,DE0008404005
SAN,BANCO SANTANDER SA,ES0113900J37
SU,SCHNEIDER ELECTRIC,FR0000121972
NOVO B,NOVO NORDISK CLASS B,DK0062498333
TTE,TOTALENERGIES,FR0000120271
ULVR,UNILEVER PLC,GB00BVZK7T90
AIR,AIRBUS GROUP,NL0000235190
UBSG,UBS GROUP AG,CH0244767585
BATS,BRITISH AMERICAN TOBACCO,GB0002875804
SAF,SAFRAN SA,FR0000073272
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,ES0113211835
IBE,IBERDROLA SA,ES0144580Y14
RR.,ROLLS-ROYCE HOLDINGS PLC,GB00B63H8491
UCG,UNICREDIT,IT0005239360
ABBN,ABB LTD,CH0012221716
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,CH0210483332
DTE,DEUTSCHE TELEKOM N AG,DE0005557508
SAN,SANOFI SA,FR0000120578
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,FR0000120073
ZURN,ZURICH INSURANCE GROUP AG,CH0011075394
EL,ESSILORLUXOTTICA SA,FR0000121667
OR,LOREAL SA,FR0000120321
ENR,SIEMENS ENERGY N AG,DE000ENER6Y0
GSK,GLAXOSMITHKLINE,GB00BN7SWP63
BP.,BP PLC,GB0007980591
BNP,BNP PARIBAS SA,FR0000131104
ISP,INTESA SANPAOLO,IT0000072618
RMS,HERMES INTERNATIONAL,FR0000052292
RHM,RHEINMETALL AG,DE0007030009
CS,AXA SA,FR0000120628
BARC,BARCLAYS PLC,GB0031348658
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,DE0008430026
INGA,ING GROEP NV,NL0011821202
RIO,RIO TINTO PLC,GB0007188757
ENEL,ENEL,IT0003128367
