Emittententicker,Name,ISIN
LHA,DEUTSCHE LUFTHANSA AG,DE0008232125
TLX,TALANX AG,DE000TLX1005
SRT3,SARTORIUS PREF AG,DE0007165631
NEM,NEMETSCHEK,DE0006452907
KBX,KNORR BREMSE AG,DE000KBX1006
HOT,HOCHTIEF AG,DE0006070006
LEG,LEG IMMOBILIEN N,DE000LEG1110
P911,DR ING HC F PORSCHE PRF AG,DE000PAG9113
EVD,CTS EVENTIM AG,DE0005470306
TKA,THYSSENKRUPP AG,DE0007500001
KGX,KION GROUP AG,DE000KGX8881
R3NK,RENK GROUP AG,DE000RENK730
HAG,HENSOLDT AG,DE000HAG0005
DHER,DELIVERY HERO,DE000A2E4K43
TUI1,TUI N AG,DE000TUAG505
FNTN,FREENET AG,DE000A0Z2ZZ5
NDX1,NORDEX,DE000A0D6554
EVK,EVONIK INDUSTRIES AG,DE000EVNK013
BC8,BECHTLE AG,DE0005158703
GBF,BILFINGER,DE0005909006
RAA,RATIONAL AG,DE0007010803
AG1,AUTO1 GROUP,DE000A2LQ884
NDA,AURUBIS AG,DE0006766504
FTK,FLATEXDEGIRO N AG,DE000FTG1111
TEG,TAG IMMOBILIEN AG,DE0008303504
FRA,FRAPORT FRANKFURT AIRPORT SERVICES,DE0005773303
FPE3,FUCHS PREF,DE000A3E5D64
AT1,AROUNDTOWN SA,LU1673108939
AIXA,AIXTRON,DE000A0WMPJ6
SDF,K S N AG,DE000KSAG888
UTDI,UNITED INTERNET AG,DE0005089031
8TRA,TRATON,DE000TRAT0N7
PUM,PUMA,DE0006969603
KRN,KRONES AG,DE0006335003
AFX,CARL ZEISS MEDITEC AG,DE0005313704
HLE,HELLA GMBH & CO KGAA,DE000A13SX22
DWS,DWS GROUP & GMBH CO KGAA,DE000DWS1007
BOSS,HUGO BOSS N AG,DE000A1PHFF7
JUN3,JUNGHEINRICH PREF AG,DE0006219934
LXS,LANXESS AG,DE0005470405
IOS,IONOS GROUP N,DE000A3E00M1
WCH,WACKER CHEMIE AG,DE000WCH8881
RRTL,RTL GROUP SA,LU0061462528
DWNI,DEUTSCHE WOHNEN,DE000A0HN5C6
SAX,STROEER SE,DE0007493991
RDC,REDCARE PHARMACY NV,NL0012044747
FIE,FIELMANN GROUP AG,DE0005772206
TMV,TEAMVIEWER,DE000A2YN900
HFG,HELLOFRESH,DE000A161408
GXI,GERRESHEIMER AG,DE000A0LD6E6
