Emittententicker,Name,Börse,ISIN
ASML,ASML HOLDING NV,Euronext Amsterdam,NL0010273215
AZN,ASTRAZENECA PLC,London Stock Exchange,GB0009895292
ROG,ROCHE HOLDING PAR AG,SIX Swiss Exchange,CH0012032048
NESN,NESTLE SA,SIX Swiss Exchange,CH0038863350
NOVN,NOVARTIS AG,SIX Swiss Exchange,CH0012005267
HSBA,HSBC HOLDINGS PLC,London Stock Exchange,GB0005405286
SAP,SAP,Xetra,DE0007164600
SHELL,SHELL PLC,Euronext Amsterdam,GB00BP6MXD84
SIE,SIEMENS N AG,Xetra,DE0007236101
MC,LVMH,Nyse Euronext - Euronext Paris,FR0000121014
ALV,ALLIANZ,Xetra,DE0008404005
SAN,BANCO SANTANDER SA,Bolsa De Madrid,ES0113900J37
NOVO B,NOVO NORDISK CLASS B,Omx Nordic Exchange Copenhagen A/S,DK0062498333
ULVR,UNILEVER PLC,London Stock Exchange,GB00B10RZP78
SU,SCHNEIDER ELECTRIC,Nyse Euronext - Euronext Paris,FR0000121972
TTE,TOTALENERGIES,Nyse Euronext - Euronext Paris,FR0000120271
AIR,AIRBUS GROUP,Nyse Euronext - Euronext Paris,NL0000235190
IBE,IBERDROLA SA,Bolsa De Madrid,ES0144580Y14
BATS,BRITISH AMERICAN TOBACCO,London Stock Exchange,GB0002875804
SAF,SAFRAN SA,Nyse Euronext - Euronext Paris,FR0000073272
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Bolsa De Madrid,ES0113211835
UBSG,UBS GROUP AG,SIX Swiss Exchange,CH0244767585
RR.,ROLLS-ROYCE HOLDINGS PLC,London Stock Exchange,GB00B63H8491
UCG,UNICREDIT,Borsa Italiana,IT0005239360
SAN,SANOFI SA,Nyse Euronext - Euronext Paris,FR0000120578
EL,ESSILORLUXOTTICA SA,Nyse Euronext - Euronext Paris,FR0000121667
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,SIX Swiss Exchange,CH0210483332
DTE,DEUTSCHE TELEKOM N AG,Xetra,DE0005557508
ABBN,ABB LTD,SIX Swiss Exchange,CH0012221716
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Nyse Euronext - Euronext Paris,FR0000120073
ZURN,ZURICH INSURANCE GROUP AG,SIX Swiss Exchange,CH0011075394
OR,LOREAL SA,Nyse Euronext - Euronext Paris,FR0000120321
GSK,GLAXOSMITHKLINE,London Stock Exchange,GB00BN7SWP63
BP.,BP PLC,London Stock Exchange,GB0007980591
ISP,INTESA SANPAOLO,Borsa Italiana,IT0000072618
ENR,SIEMENS ENERGY N AG,Xetra,DE000ENER6Y0
BNP,BNP PARIBAS SA,Nyse Euronext - Euronext Paris,FR0000131104
RMS,HERMES INTERNATIONAL,Nyse Euronext - Euronext Paris,FR0000052292
CS,AXA SA,Nyse Euronext - Euronext Paris,FR0000120628
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Xetra,DE0008430026
DG,VINCI SA,Nyse Euronext - Euronext Paris,FR0000125486
PRX,PROSUS NV CLASS N,Euronext Amsterdam,NL0013654783
ENEL,ENEL,Borsa Italiana,IT0003128367
RHM,RHEINMETALL AG,Xetra,DE0007030009
BARC,BARCLAYS PLC,London Stock Exchange,GB0031348658
INGA,ING GROEP NV,Euronext Amsterdam,NL0011821202
NG.,NATIONAL GRID PLC,London Stock Exchange,GB00BDR05C01
RIO,RIO TINTO PLC,London Stock Exchange,GB0007188757
REL,RELX PLC,London Stock Exchange,GB00B2B0DG97
LLOY,LLOYDS BANKING GROUP PLC,London Stock Exchange,GB0008706128
DBK,DEUTSCHE BANK AG,Xetra,DE0005140008
NWG,NATWEST GROUP PLC,London Stock Exchange,GB00BM8PJY71
BA.,BAE SYSTEMS PLC,London Stock Exchange,GB0002634946
ABI,ANHEUSER-BUSCH INBEV SA,Nyse Euronext - Euronext Brussels,BE0974293251
ITX,INDUSTRIA DE DISENO TEXTIL SA,Bolsa De Madrid,ES0148396007
INVE B,INVESTOR CLASS B,Nasdaq Omx Nordic,SE0015811963
