Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung,ISIN
ASML,ASML HOLDING NV,IT,Aktien,"278.203.062,90","2,98","278.203.062,90","305.953,00","909,30",Niederlande,Euronext Amsterdam,EUR,NL0010273215
AZN,ASTRAZENECA PLC,Gesundheitsversorgung,Aktien,"194.201.291,07","2,08","194.201.291,07","1.202.715,00","161,47",Vereinigtes Königreich,London Stock Exchange,GBP,GB0009895292
ROG,ROCHE HOLDING PAR AG,Gesundheitsversorgung,Aktien,"182.539.564,33","1,95","182.539.564,33","544.730,00","335,10",Schweiz,SIX Swiss Exchange,CHF,CH0012032048
NESN,NESTLE SA,Nichtzyklische Konsumgüter,Aktien,"170.606.270,50","1,83","170.606.270,50","2.001.801,00","85,23",Schweiz,SIX Swiss Exchange,CHF,CH0038863350
NOVN,NOVARTIS AG,Gesundheitsversorgung,Aktien,"168.496.085,70","1,80","168.496.085,70","1.494.140,00","112,77",Schweiz,SIX Swiss Exchange,CHF,CH0012005267
HSBA,HSBC HOLDINGS PLC,Financials,Aktien,"163.959.545,37","1,76","163.959.545,37","13.497.008,00","12,15",Vereinigtes Königreich,London Stock Exchange,GBP,GB0005405286
SAP,SAP,IT,Aktien,"163.419.500,40","1,75","163.419.500,40","790.612,00","206,70",Deutschland,Xetra,EUR,DE0007164600
SHELL,SHELL PLC,Energie,Aktien,"143.977.449,46","1,54","143.977.449,46","4.548.332,00","31,66",Vereinigtes Königreich,Euronext Amsterdam,EUR,GB00BP6MXD84
SIE,SIEMENS N AG,Industrie,Aktien,"133.152.462,60","1,43","133.152.462,60","583.746,00","228,10",Deutschland,Xetra,EUR,DE0007236101
MC,LVMH,Zyklische Konsumgüter ,Aktien,"123.162.523,60","1,32","123.162.523,60","196.934,00","625,40",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121014
ALV,ALLIANZ,Financials,Aktien,"111.893.417,40","1,20","111.893.417,40","299.661,00","373,40",Deutschland,Xetra,EUR,DE0008404005
SAN,BANCO SANTANDER SA,Financials,Aktien,"106.697.567,96","1,14","106.697.567,96","11.581.197,00","9,21",Spanien,Bolsa De Madrid,EUR,ES0113900J37
NOVO B,NOVO NORDISK CLASS B,Gesundheitsversorgung,Aktien,"104.801.023,14","1,12","104.801.023,14","2.491.141,00","42,07",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0062498333
ULVR,UNILEVER PLC,Nichtzyklische Konsumgüter,Aktien,"101.770.280,78","1,09","101.770.280,78","1.972.387,00","51,60",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B10RZP78
SU,SCHNEIDER ELECTRIC,Industrie,Aktien,"101.688.564,80","1,09","101.688.564,80","447.376,00","227,30",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121972
TTE,TOTALENERGIES,Energie,Aktien,"99.903.931,88","1,07","99.903.931,88","1.763.218,00","56,66",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120271
AIR,AIRBUS GROUP,Industrie,Aktien,"93.556.019,25","1,00","93.556.019,25","456.705,00","204,85",Frankreich,Nyse Euronext - Euronext Paris,EUR,NL0000235190
IBE,IBERDROLA SA,Versorger,Aktien,"86.354.470,44","0,92","86.354.470,44","4.726.572,00","18,27",Spanien,Bolsa De Madrid,EUR,ES0144580Y14
BATS,BRITISH AMERICAN TOBACCO,Nichtzyklische Konsumgüter,Aktien,"84.210.167,40","0,90","84.210.167,40","1.693.490,00","49,73",Vereinigtes Königreich,London Stock Exchange,GBP,GB0002875804
SAF,SAFRAN SA,Industrie,Aktien,"84.066.232,60","0,90","84.066.232,60","290.786,00","289,10",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000073272
