Fondsposition per,"18.Nov.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ASML","ASML HOLDING NV","IT","Aktien","264.027.908,80","2,90","264.027.908,80","305.023,00","865,60","Niederlande","Euronext Amsterdam","EUR"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","184.592.802,79","2,03","184.592.802,79","1.199.045,00","153,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"ROG","ROCHE HOLDING PAR AG","Gesundheitsversorgung","Aktien","180.087.642,88","1,98","180.087.642,88","543.070,00","331,61","Schweiz","SIX Swiss Exchange","CHF"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","171.025.824,25","1,88","171.025.824,25","1.995.691,00","85,70","Schweiz","SIX Swiss Exchange","CHF"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","164.277.592,54","1,80","164.277.592,54","1.489.580,00","110,28","Schweiz","SIX Swiss Exchange","CHF"
"SAP","SAP","IT","Aktien","161.857.280,70","1,78","161.857.280,70","788.202,00","205,35","Deutschland","Xetra","EUR"
"HSBA","HSBC HOLDINGS PLC","Financials","Aktien","161.250.536,65","1,77","161.250.536,65","13.455.808,00","11,98","Vereinigtes Königreich","London Stock Exchange","GBP"
"SHELL","SHELL PLC","Energie","Aktien","145.646.598,24","1,60","145.646.598,24","4.534.452,00","32,12","Vereinigtes Königreich","Euronext Amsterdam","EUR"
"SIE","SIEMENS N AG","Industrie","Aktien","126.955.882,90","1,39","126.955.882,90","581.966,00","218,15","Deutschland","Xetra","EUR"
"MC","LVMH","Zyklische Konsumgüter ","Aktien","120.018.974,20","1,32","120.018.974,20","196.334,00","611,30","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ALV","ALLIANZ","Financials","Aktien","107.430.859,60","1,18","107.430.859,60","298.751,00","359,60","Deutschland","Xetra","EUR"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","101.368.592,84","1,11","101.368.592,84","2.483.531,00","40,82","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SAN","BANCO SANTANDER SA","Financials","Aktien","101.291.452,54","1,11","101.291.452,54","11.545.817,00","8,77","Spanien","Bolsa De Madrid","EUR"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","101.044.924,80","1,11","101.044.924,80","446.016,00","226,55","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","99.769.251,94","1,10","99.769.251,94","1.966.367,00","50,74","Vereinigtes Königreich","London Stock Exchange","GBP"
"TTE","TOTALENERGIES","Energie","Aktien","97.507.273,86","1,07","97.507.273,86","1.757.838,00","55,47","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AIR","AIRBUS GROUP","Industrie","Aktien","92.952.557,25","1,02","92.952.557,25","455.315,00","204,15","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SAF","SAFRAN SA","Industrie","Aktien","86.736.883,20","0,95","86.736.883,20","289.896,00","299,20","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"IBE","IBERDROLA SA","Versorger","Aktien","84.794.635,39","0,93","84.794.635,39","4.712.122,00","18,00","Spanien","Bolsa De Madrid","EUR"
"UBSG","UBS GROUP AG","Financials","Aktien","79.685.901,77","0,88","79.685.901,77","2.433.948,00","32,74","Schweiz","SIX Swiss Exchange","CHF"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrie","Aktien","79.525.657,49","0,87","79.525.657,49","6.527.964,00","12,18","Vereinigtes Königreich","London Stock Exchange","GBP"
"BATS","BRITISH AMERICAN TOBACCO","Nichtzyklische Konsumgüter","Aktien","79.089.594,77","0,87","79.089.594,77","1.688.310,00","46,85","Vereinigtes Königreich","London Stock Exchange","GBP"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Aktien","78.412.400,00","0,86","78.412.400,00","4.455.250,00","17,60","Spanien","Bolsa De Madrid","EUR"
"SAN","SANOFI SA","Gesundheitsversorgung","Aktien","77.200.368,72","0,85","77.200.368,72","881.484,00","87,58","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"UCG","UNICREDIT","Financials","Aktien","75.746.518,42","0,83","75.746.518,42","1.206.539,00","62,78","Italien","Borsa Italiana","EUR"
"EL","ESSILORLUXOTTICA SA","Gesundheitsversorgung","Aktien","75.251.367,00","0,83","75.251.367,00","241.655,00","311,40","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialien","Aktien","74.153.607,80","0,81","74.153.607,80","446.870,00","165,94","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Kommunikation","Aktien","73.311.478,11","0,81","73.311.478,11","2.724.321,00","26,91","Deutschland","Xetra","EUR"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Zyklische Konsumgüter ","Aktien","72.745.248,65","0,80","72.745.248,65","415.441,00","175,10","Schweiz","SIX Swiss Exchange","CHF"
"ABBN","ABB LTD","Industrie","Aktien","71.592.781,36","0,79","71.592.781,36","1.223.933,00","58,49","Schweiz","SIX Swiss Exchange","CHF"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Aktien","68.339.622,13","0,75","68.339.622,13","113.313,00","603,11","Schweiz","SIX Swiss Exchange","CHF"
"BP.","BP PLC","Energie","Aktien","66.331.263,27","0,73","66.331.263,27","12.746.886,00","5,20","Vereinigtes Königreich","London Stock Exchange","GBP"
"OR","LOREAL SA","Nichtzyklische Konsumgüter","Aktien","65.099.779,50","0,71","65.099.779,50","185.074,00","351,75","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"GSK","GLAXOSMITHKLINE","Gesundheitsversorgung","Aktien","64.693.199,87","0,71","64.693.199,87","3.190.117,00","20,28","Vereinigtes Königreich","London Stock Exchange","GBP"
"ISP","INTESA SANPAOLO","Financials","Aktien","62.708.868,66","0,69","62.708.868,66","11.282.632,00","5,56","Italien","Borsa Italiana","EUR"
"RHM","RHEINMETALL AG","Industrie","Aktien","60.993.504,00","0,67","60.993.504,00","35.544,00","1.716,00","Deutschland","Xetra","EUR"
"ENR","SIEMENS ENERGY N AG","Industrie","Aktien","58.839.612,00","0,65","58.839.612,00","550.160,00","106,95","Deutschland","Xetra","EUR"
"PRX","PROSUS NV CLASS N","Zyklische Konsumgüter ","Aktien","57.074.132,88","0,63","57.074.132,88","971.144,00","58,77","Niederlande","Euronext Amsterdam","EUR"
"RMS","HERMES INTERNATIONAL","Zyklische Konsumgüter ","Aktien","56.648.800,00","0,62","56.648.800,00","27.235,00","2.080,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
